ID;Block;Trial;Haptic;Color;A1;A2;Participant number
3221;Gas;1;True;Neutral;4;3;3
3311;Gas;2;False;Red;4;2;3
3321;Gas;3;True;Red;4;5;3
3121;Gas;4;True;Blue;5;4;3
3322;Gas;5;True;Red;5;5;3
3312;Gas;6;False;Red;4;1;3
3313;Gas;7;False;Red;4;1;3
3323;Gas;8;True;Red;5;6;3
3122;Gas;9;True;Blue;4;7;3
3111;Gas;10;False;Blue;3;3;3
3112;Gas;11;False;Blue;5;5;3
3113;Gas;12;False;Blue;4;3;3
3314;Gas;13;False;Red;4;1;3
3315;Gas;14;False;Red;5;5;3
3123;Gas;15;True;Blue;5;6;3
3324;Gas;16;True;Red;5;6;3
3124;Gas;17;True;Blue;5;5;3
3114;Gas;18;False;Blue;4;1;3
3211;Gas;19;False;Neutral;4;2;3
3212;Gas;20;False;Neutral;3;0;3
3213;Gas;21;False;Neutral;4;2;3
3222;Gas;22;True;Neutral;5;5;3
3125;Gas;23;True;Blue;4;6;3
3214;Gas;24;False;Neutral;4;1;3
3215;Gas;25;False;Neutral;4;1;3
3223;Gas;26;True;Neutral;4;6;3
3224;Gas;27;True;Neutral;5;4;3
3225;Gas;28;True;Neutral;4;3;3
3115;Gas;29;False;Blue;3;4;3
3325;Gas;30;True;Red;5;6;3
1321;Solid;31;True;Red;4;2;3
1211;Solid;32;False;Neutral;4;1;3
1311;Solid;33;False;Red;4;0;3
1111;Solid;34;False;Blue;4;1;3
1322;Solid;35;True;Red;5;5;3
1323;Solid;36;True;Red;5;6;3
1112;Solid;37;False;Blue;4;0;3
1121;Solid;38;True;Blue;4;5;3
1122;Solid;39;True;Blue;4;4;3
1312;Solid;40;False;Red;4;1;3
1324;Solid;41;True;Red;4;6;3
1212;Solid;42;False;Neutral;4;1;3
1213;Solid;43;False;Neutral;4;1;3
1221;Solid;44;True;Neutral;4;6;3
1222;Solid;45;True;Neutral;5;6;3
1325;Solid;46;True;Red;4;6;3
1313;Solid;47;False;Red;4;1;3
1113;Solid;48;False;Blue;4;1;3
1314;Solid;49;False;Red;4;0;3
1123;Solid;50;True;Blue;4;5;3
1124;Solid;51;True;Blue;4;5;3
1214;Solid;52;False;Neutral;4;1;3
1223;Solid;53;True;Neutral;4;5;3
1315;Solid;54;False;Red;4;1;3
1215;Solid;55;False;Neutral;4;2;3
1114;Solid;56;False;Blue;4;1;3
1224;Solid;57;True;Neutral;4;5;3
1225;Solid;58;True;Neutral;4;5;3
1115;Solid;59;False;Blue;4;1;3
1125;Solid;60;True;Blue;3;6;3
2221;Liquid;61;True;Neutral;4;6;3
2111;Liquid;62;False;Blue;4;1;3
2311;Liquid;63;False;Red;4;1;3
2312;Liquid;64;False;Red;4;1;3
2211;Liquid;65;False;Neutral;4;1;3
2212;Liquid;66;False;Neutral;4;1;3
2112;Liquid;67;False;Blue;4;1;3
2113;Liquid;68;False;Blue;4;1;3
2121;Liquid;69;True;Blue;4;5;3
2321;Liquid;70;True;Red;4;6;3
2122;Liquid;71;True;Blue;4;6;3
2322;Liquid;72;True;Red;4;5;3
2222;Liquid;73;True;Neutral;4;5;3
2213;Liquid;74;False;Neutral;4;1;3
2313;Liquid;75;False;Red;4;0;3
2314;Liquid;76;False;Red;4;0;3
2223;Liquid;77;True;Neutral;4;6;3
2114;Liquid;78;False;Blue;4;2;3
2224;Liquid;79;True;Neutral;4;7;3
2225;Liquid;80;True;Neutral;4;6;3
2323;Liquid;81;True;Red;4;7;3
2123;Liquid;82;True;Blue;4;7;3
2324;Liquid;83;True;Red;5;6;3
2214;Liquid;84;False;Neutral;4;6;3
2124;Liquid;85;True;Blue;4;5;3
2125;Liquid;86;True;Blue;3;6;3
2215;Liquid;87;False;Neutral;4;0;3
2325;Liquid;88;True;Red;5;7;3
2115;Liquid;89;False;Blue;3;1;3
2315;Liquid;90;False;Red;4;0;3
