ID;Block;Trial;Haptic;Color;A1;A2;Participant number
2211;Liquid;1;False;Neutral;4;5;29
2321;Liquid;2;True;Red;5;5;29
2212;Liquid;3;False;Neutral;5;4;29
2111;Liquid;4;False;Blue;5;3;29
2112;Liquid;5;False;Blue;4;5;29
2311;Liquid;6;False;Red;5;6;29
2213;Liquid;7;False;Neutral;5;6;29
2221;Liquid;8;True;Neutral;5;7;29
2121;Liquid;9;True;Blue;6;7;29
2214;Liquid;10;False;Neutral;5;7;29
2312;Liquid;11;False;Red;5;6;29
2222;Liquid;12;True;Neutral;6;7;29
2322;Liquid;13;True;Red;5;6;29
2215;Liquid;14;False;Neutral;4;4;29
2113;Liquid;15;False;Blue;5;4;29
2223;Liquid;16;True;Neutral;5;7;29
2313;Liquid;17;False;Red;4;5;29
2322;Liquid;18;True;Red;5;6;29
2323;Liquid;19;True;Red;6;6;29
2324;Liquid;20;True;Red;5;6;29
2314;Liquid;21;False;Red;4;6;29
2114;Liquid;22;False;Blue;3;4;29
2123;Liquid;23;True;Blue;5;6;29
2325;Liquid;24;True;Red;5;6;29
2224;Liquid;25;True;Neutral;6;7;29
2115;Liquid;26;False;Blue;5;6;29
2124;Liquid;27;True;Blue;6;7;29
2125;Liquid;28;True;Blue;5;7;29
2225;Liquid;29;True;Neutral;5;6;29
2315;Liquid;30;False;Red;4;4;29
3111;Gas;31;False;Blue;4;6;29
3121;Gas;32;True;Blue;5;6;29
3221;Gas;33;True;Neutral;4;6;29
3112;Gas;34;False;Blue;5;5;29
3211;Gas;35;False;Neutral;3;5;29
3222;Gas;36;True;Neutral;4;6;29
3311;Gas;37;False;Red;3;5;29
3312;Gas;38;False;Red;4;6;29
3212;Gas;39;False;Neutral;3;6;29
3122;Gas;40;True;Blue;5;7;29
3123;Gas;41;True;Blue;4;6;29
3223;Gas;42;True;Neutral;4;7;29
3213;Gas;43;False;Neutral;4;5;29
3214;Gas;44;False;Neutral;5;5;29
3313;Gas;45;False;Red;3;4;29
3314;Gas;46;False;Red;3;3;29
3113;Gas;47;False;Blue;3;7;29
3321;Gas;48;True;Red;6;7;29
3215;Gas;49;False;Neutral;4;6;29
3114;Gas;50;False;Blue;4;5;29
3124;Gas;51;True;Blue;5;3;29
3322;Gas;52;True;Red;5;6;29
3115;Gas;53;False;Blue;5;3;29
3323;Gas;54;True;Red;5;7;29
3224;Gas;55;True;Neutral;5;5;29
3125;Gas;56;True;Blue;4;4;29
3324;Gas;57;True;Red;5;6;29
3325;Gas;58;True;Red;5;6;29
3315;Gas;59;False;Red;4;3;29
3225;Gas;60;True;Neutral;5;5;29
1221;Solid;61;True;Neutral;5;6;29
1321;Solid;62;True;Red;4;5;29
1311;Solid;63;False;Red;4;3;29
1312;Solid;64;False;Red;3;2;29
1121;Solid;65;True;Blue;4;4;29
1111;Solid;66;False;Blue;3;6;29
1211;Solid;67;False;Neutral;4;7;29
1322;Solid;68;True;Red;5;7;29
1313;Solid;69;False;Red;5;6;29
1122;Solid;70;True;Blue;4;5;29
1323;Solid;71;True;Red;5;6;29
1324;Solid;72;True;Red;3;3;29
1112;Solid;73;False;Blue;4;3;29
1113;Solid;74;False;Blue;4;3;29
1212;Solid;75;False;Neutral;4;5;29
1123;Solid;76;True;Blue;4;5;29
1213;Solid;77;False;Neutral;3;4;29
1314;Solid;78;False;Red;3;2;29
1214;Solid;79;False;Neutral;4;6;29
1315;Solid;80;False;Red;5;6;29
1222;Solid;81;True;Neutral;5;4;29
1223;Solid;82;True;Neutral;5;4;29
1224;Solid;83;True;Neutral;4;6;29
1124;Solid;84;True;Blue;5;3;29
1125;Solid;85;True;Blue;5;3;29
1325;Solid;86;True;Red;5;7;29
1215;Solid;87;False;Neutral;4;6;29
1225;Solid;88;True;Neutral;5;5;29
1114;Solid;89;False;Blue;4;5;29
1115;Solid;90;False;Blue;4;5;29
