ID;Block;Trial;Haptic;Color;A1;A2;Participant number
3121;Gas;1;True;Blue;6;6;15
3321;Gas;2;True;Red;5;5;15
3211;Gas;3;False;Neutral;5;7;15
3212;Gas;4;False;Neutral;4;6;15
3322;Gas;5;True;Red;6;5;15
3311;Gas;6;False;Red;5;5;15
3323;Gas;7;True;Red;5;4;15
3213;Gas;8;False;Neutral;5;3;15
3122;Gas;9;True;Blue;5;1;15
3221;Gas;10;True;Neutral;6;3;15
3312;Gas;11;False;Red;5;5;15
3123;Gas;12;True;Blue;6;3;15
3324;Gas;13;True;Red;6;6;15
3214;Gas;14;False;Neutral;5;6;15
3325;Gas;15;True;Red;6;7;15
3313;Gas;16;False;Red;4;2;15
3111;Gas;17;False;Blue;5;5;15
3314;Gas;18;False;Red;5;5;15
3215;Gas;19;False;Neutral;4;8;15
3222;Gas;20;True;Neutral;6;3;15
3223;Gas;21;True;Neutral;6;3;15
3224;Gas;22;True;Neutral;6;3;15
3112;Gas;23;False;Blue;5;2;15
3113;Gas;24;False;Blue;4;5;15
3225;Gas;25;True;Neutral;6;2;15
3124;Gas;26;True;Blue;6;2;15
3114;Gas;27;False;Blue;5;2;15
3315;Gas;28;False;Red;4;1;15
3125;Gas;29;True;Blue;6;1;15
3115;Gas;30;False;Blue;5;2;15
1111;Solid;31;False;Blue;4;0;15
1321;Solid;32;True;Red;6;0;15
1221;Solid;33;True;Neutral;6;0;15
1222;Solid;34;True;Neutral;6;0;15
1311;Solid;35;False;Red;5;0;15
1312;Solid;36;False;Red;4;0;15
1223;Solid;37;True;Neutral;6;0;15
1121;Solid;38;True;Blue;5;0;15
1313;Solid;39;False;Red;4;0;15
1211;Solid;40;False;Neutral;4;0;15
1122;Solid;41;True;Blue;5;0;15
1212;Solid;42;False;Neutral;4;0;15
1123;Solid;43;True;Blue;5;0;15
1124;Solid;44;True;Blue;5;0;15
1322;Solid;45;True;Red;5;0;15
1213;Solid;46;False;Neutral;4;0;15
1323;Solid;47;True;Red;5;0;15
1112;Solid;48;False;Blue;4;0;15
1314;Solid;49;False;Red;4;0;15
1224;Solid;50;True;Neutral;5;0;15
1113;Solid;51;False;Blue;4;0;15
1125;Solid;52;True;Blue;5;0;15
1324;Solid;53;True;Red;5;0;15
1225;Solid;54;True;Neutral;5;0;15
1114;Solid;55;False;Blue;4;0;15
1115;Solid;56;False;Blue;4;0;15
1325;Solid;57;True;Red;5;0;15
1214;Solid;58;False;Neutral;4;0;15
1215;Solid;59;False;Neutral;4;0;15
1315;Solid;60;False;Red;4;0;15
2211;Liquid;61;False;Neutral;4;0;15
2111;Liquid;62;False;Blue;5;7;15
2121;Liquid;63;True;Blue;6;2;15
2112;Liquid;64;False;Blue;6;3;15
2212;Liquid;65;False;Neutral;6;7;15
2311;Liquid;66;False;Red;6;8;15
2221;Liquid;67;True;Neutral;5;1;15
2113;Liquid;68;False;Blue;4;5;15
2321;Liquid;69;True;Red;6;7;15
2222;Liquid;70;True;Neutral;5;1;15
2213;Liquid;71;False;Neutral;4;6;15
2114;Liquid;72;False;Blue;4;5;15
2312;Liquid;73;False;Red;4;2;15
2214;Liquid;74;False;Neutral;4;5;15
2313;Liquid;75;False;Red;4;2;15
2322;Liquid;76;True;Red;5;5;15
2323;Liquid;77;True;Red;5;1;15
2122;Liquid;78;True;Blue;5;1;15
2223;Liquid;79;True;Neutral;5;4;15
2314;Liquid;80;False;Red;4;5;15
2224;Liquid;81;True;Neutral;5;2;15
2123;Liquid;82;True;Blue;5;4;15
2215;Liquid;83;False;Neutral;4;2;15
2324;Liquid;84;True;Red;5;4;15
2315;Liquid;85;False;Red;4;1;15
2124;Liquid;86;True;Blue;5;1;15
2225;Liquid;87;True;Neutral;5;4;15
2125;Liquid;88;True;Blue;5;5;15
2115;Liquid;89;False;Blue;5;6;15
2325;Liquid;90;True;Red;4;4;15
