ID;Block;Trial;Haptic;Color;A1;A2;Participant number
1311;Solid;1;False;Red;4;0;14
1312;Solid;2;False;Red;4;2;14
1321;Solid;3;True;Red;4;3;14
1211;Solid;4;False;Neutral;5;0;14
1121;Solid;5;True;Blue;4;2;14
1122;Solid;6;True;Blue;4;3;14
1322;Solid;7;True;Red;4;3;14
1313;Solid;8;False;Red;4;0;14
1314;Solid;9;False;Red;4;0;14
1212;Solid;10;False;Neutral;4;0;14
1221;Solid;11;True;Neutral;4;1;14
1315;Solid;12;False;Red;4;0;14
1222;Solid;13;True;Neutral;4;3;14
1111;Solid;14;False;Blue;4;0;14
1223;Solid;15;True;Neutral;4;0;14
1323;Solid;16;True;Red;4;3;14
1112;Solid;17;False;Blue;4;1;14
1113;Solid;18;False;Blue;4;0;14
1213;Solid;19;False;Neutral;4;0;14
1214;Solid;20;False;Neutral;4;0;14
1324;Solid;21;True;Red;4;2;14
1123;Solid;22;True;Blue;4;2;14
1114;Solid;23;False;Blue;4;0;14
1215;Solid;24;False;Neutral;4;0;14
1224;Solid;25;True;Neutral;4;4;14
1124;Solid;26;True;Blue;4;4;14
1325;Solid;27;True;Red;4;4;14
1225;Solid;28;True;Neutral;4;4;14
1115;Solid;29;False;Blue;4;0;14
1125;Solid;30;True;Blue;4;4;14
3111;Gas;31;False;Blue;4;5;14
3311;Gas;32;False;Red;5;5;14
3221;Gas;33;True;Neutral;3;5;14
3312;Gas;34;False;Red;4;1;14
3112;Gas;35;False;Blue;4;1;14
3211;Gas;36;False;Neutral;4;1;14
3212;Gas;37;False;Neutral;4;1;14
3313;Gas;38;False;Red;4;1;14
3213;Gas;39;False;Neutral;4;1;14
3121;Gas;40;True;Blue;4;4;14
3321;Gas;41;True;Red;4;5;14
3314;Gas;42;False;Red;4;1;14
3113;Gas;43;False;Blue;4;1;14
3214;Gas;44;False;Neutral;4;1;14
3222;Gas;45;True;Neutral;4;4;14
3322;Gas;46;True;Red;4;4;14
3223;Gas;47;True;Neutral;4;4;14
3215;Gas;48;False;Neutral;4;1;14
3114;Gas;49;False;Blue;4;1;14
3224;Gas;50;True;Neutral;4;5;14
3122;Gas;51;True;Blue;4;6;14
3225;Gas;52;True;Neutral;4;6;14
3323;Gas;53;True;Red;4;5;14
3324;Gas;54;True;Red;5;6;14
3315;Gas;55;False;Red;4;1;14
3123;Gas;56;True;Blue;5;3;14
3325;Gas;57;True;Red;4;3;14
3124;Gas;58;True;Blue;4;4;14
3125;Gas;59;True;Blue;4;3;14
3115;Gas;60;False;Blue;4;1;14
2311;Liquid;61;False;Red;4;0;14
2321;Liquid;62;True;Red;4;3;14
2221;Liquid;63;True;Neutral;4;6;14
2211;Liquid;64;False;Neutral;4;2;14
2111;Liquid;65;False;Blue;4;2;14
2222;Liquid;66;True;Neutral;4;3;14
2212;Liquid;67;False;Neutral;4;1;14
2213;Liquid;68;False;Neutral;4;2;14
2121;Liquid;69;True;Blue;4;6;14
2122;Liquid;70;True;Blue;4;5;14
2112;Liquid;71;False;Blue;4;1;14
2214;Liquid;72;False;Neutral;4;1;14
2322;Liquid;73;True;Red;4;4;14
2113;Liquid;74;False;Blue;4;2;14
2123;Liquid;75;True;Blue;4;3;14
2312;Liquid;76;False;Red;4;2;14
2313;Liquid;77;False;Red;4;1;14
2314;Liquid;78;False;Red;4;1;14
2223;Liquid;79;True;Neutral;4;6;14
2215;Liquid;80;False;Neutral;4;2;14
2315;Liquid;81;False;Red;4;1;14
2114;Liquid;82;False;Blue;4;2;14
2124;Liquid;83;True;Blue;4;6;14
2224;Liquid;84;True;Neutral;4;7;14
2323;Liquid;85;True;Red;4;5;14
2324;Liquid;86;True;Red;4;4;14
2125;Liquid;87;True;Blue;4;5;14
2115;Liquid;88;False;Blue;4;2;14
2325;Liquid;89;True;Red;4;3;14
2225;Liquid;90;True;Neutral;4;5;14
