ID;Block;Trial;Haptic;Color;A1;A2;Participant number
2211;Liquid;1;False;Neutral;4;0;11
2221;Liquid;2;True;Neutral;6;8;11
2311;Liquid;3;False;Red;4;0;11
2222;Liquid;4;True;Neutral;5;8;11
2212;Liquid;5;False;Neutral;4;0;11
2312;Liquid;6;False;Red;4;0;11
2121;Liquid;7;True;Blue;5;0;11
2321;Liquid;8;True;Red;6;8;11
2122;Liquid;9;True;Blue;3;0;11
2111;Liquid;10;False;Blue;4;0;11
2112;Liquid;11;False;Blue;4;0;11
2213;Liquid;12;False;Neutral;3;0;11
2322;Liquid;13;True;Red;6;6;11
2123;Liquid;14;True;Blue;3;5;11
2323;Liquid;15;True;Red;6;7;11
2113;Liquid;16;False;Blue;4;0;11
2124;Liquid;17;True;Blue;4;5;11
2223;Liquid;18;True;Neutral;4;7;11
2114;Liquid;19;False;Blue;4;0;11
2125;Liquid;20;True;Blue;4;5;11
2115;Liquid;21;False;Blue;4;0;11
2324;Liquid;22;True;Red;4;3;11
2313;Liquid;23;False;Red;4;0;11
2325;Liquid;24;True;Red;5;4;11
2214;Liquid;25;False;Neutral;4;2;11
2224;Liquid;26;True;Neutral;4;3;11
2225;Liquid;27;True;Neutral;4;1;11
2215;Liquid;28;False;Neutral;4;0;11
2314;Liquid;29;False;Red;4;2;11
2315;Liquid;30;False;Red;4;1;11
3321;Gas;31;True;Red;4;7;11
3121;Gas;32;True;Blue;5;7;11
3111;Gas;33;False;Blue;4;2;11
3221;Gas;34;True;Neutral;4;5;11
3222;Gas;35;True;Neutral;4;5;11
3223;Gas;36;True;Neutral;5;7;11
3211;Gas;37;False;Neutral;5;2;11
3322;Gas;38;True;Red;4;6;11
3323;Gas;39;True;Red;4;5;11
3324;Gas;40;True;Red;4;6;11
3311;Gas;41;False;Red;4;2;11
3112;Gas;42;False;Blue;4;2;11
3122;Gas;43;True;Blue;5;5;11
3113;Gas;44;False;Blue;4;2;11
3123;Gas;45;True;Blue;5;6;11
3224;Gas;46;True;Neutral;3;7;11
3124;Gas;47;True;Blue;4;6;11
3225;Gas;48;True;Neutral;4;6;11
3312;Gas;49;False;Red;4;3;11
3114;Gas;50;False;Blue;4;2;11
3212;Gas;51;False;Neutral;4;2;11
3313;Gas;52;False;Red;4;2;11
3213;Gas;53;False;Neutral;4;1;11
3115;Gas;54;False;Blue;4;2;11
3125;Gas;55;True;Blue;4;6;11
3325;Gas;56;True;Red;4;7;11
3314;Gas;57;False;Red;4;3;11
3214;Gas;58;False;Neutral;4;2;11
3315;Gas;59;False;Red;4;2;11
3215;Gas;60;False;Neutral;4;3;11
1311;Solid;61;False;Red;4;2;11
1121;Solid;62;True;Blue;4;2;11
1312;Solid;63;False;Red;4;1;11
1321;Solid;64;True;Red;4;1;11
1322;Solid;65;True;Red;4;1;11
1122;Solid;66;True;Blue;4;1;11
1221;Solid;67;True;Neutral;4;5;11
1222;Solid;68;True;Neutral;4;5;11
1211;Solid;69;False;Neutral;4;1;11
1223;Solid;70;True;Neutral;4;2;11
1111;Solid;71;False;Blue;4;1;11
1313;Solid;72;False;Red;4;1;11
1224;Solid;73;True;Neutral;4;3;11
1123;Solid;74;True;Blue;4;5;11
1112;Solid;75;False;Blue;4;1;11
1212;Solid;76;False;Neutral;4;1;11
1124;Solid;77;True;Blue;4;3;11
1213;Solid;78;False;Neutral;4;2;11
1323;Solid;79;True;Red;4;5;11
1125;Solid;80;True;Blue;4;5;11
1324;Solid;81;True;Red;4;5;11
1214;Solid;82;False;Neutral;4;1;11
1215;Solid;83;False;Neutral;4;2;11
1113;Solid;84;False;Blue;4;1;11
1114;Solid;85;False;Blue;4;0;11
1314;Solid;86;False;Red;4;0;11
1315;Solid;87;False;Red;4;0;11
1325;Solid;88;True;Red;4;3;11
1115;Solid;89;False;Blue;4;2;11
1225;Solid;90;True;Neutral;4;3;11
