ID;Block;Trial;Haptic;Color;A1;A2;Participant number
1321;Solid;1;True;Red;4;2;26
1121;Solid;2;True;Blue;4;2;26
1322;Solid;3;True;Red;5;2;26
1221;Solid;4;True;Neutral;5;2;26
1122;Solid;5;True;Blue;3;3;26
1323;Solid;6;True;Red;3;3;26
1311;Solid;7;False;Red;4;1;26
1123;Solid;8;True;Blue;3;3;26
1111;Solid;9;False;Blue;4;1;26
1124;Solid;10;True;Blue;4;2;26
1312;Solid;11;False;Red;4;1;26
1211;Solid;12;False;Neutral;4;1;26
1324;Solid;13;True;Red;3;3;26
1212;Solid;14;False;Neutral;4;1;26
1213;Solid;15;False;Neutral;4;0;26
1325;Solid;16;True;Red;3;2;26
1222;Solid;17;True;Neutral;3;2;26
1112;Solid;18;False;Blue;4;0;26
1223;Solid;19;True;Neutral;4;3;26
1125;Solid;20;True;Blue;4;3;26
1313;Solid;21;False;Red;4;0;26
1214;Solid;22;False;Neutral;4;0;26
1314;Solid;23;False;Red;4;0;26
1215;Solid;24;False;Neutral;4;0;26
1113;Solid;25;False;Blue;4;0;26
1114;Solid;26;False;Blue;4;0;26
1315;Solid;27;False;Red;4;0;26
1224;Solid;28;True;Neutral;4;3;26
1115;Solid;29;False;Blue;4;0;26
1225;Solid;30;True;Neutral;4;3;26
3321;Gas;31;True;Red;5;5;26
3311;Gas;32;False;Red;5;0;26
3121;Gas;33;True;Blue;5;6;26
3111;Gas;34;False;Blue;5;6;26
3221;Gas;35;True;Neutral;5;6;26
3211;Gas;36;False;Neutral;5;2;26
3322;Gas;37;True;Red;5;6;26
3122;Gas;38;True;Blue;5;6;26
3212;Gas;39;False;Neutral;5;2;26
3323;Gas;40;True;Red;5;6;26
3222;Gas;41;True;Neutral;5;5;26
3324;Gas;42;True;Red;4;7;26
3312;Gas;43;False;Red;4;2;26
3213;Gas;44;False;Neutral;4;1;26
3112;Gas;45;False;Blue;4;1;26
3123;Gas;46;True;Blue;4;7;26
3313;Gas;47;False;Red;4;1;26
3314;Gas;48;False;Red;4;1;26
3113;Gas;49;False;Blue;5;1;26
3114;Gas;50;False;Blue;4;1;26
3124;Gas;51;True;Blue;4;6;26
3223;Gas;52;True;Neutral;5;6;26
3315;Gas;53;False;Red;4;1;26
3224;Gas;54;True;Neutral;5;7;26
3225;Gas;55;True;Neutral;4;5;26
3214;Gas;56;False;Neutral;4;1;26
3215;Gas;57;False;Neutral;4;1;26
3125;Gas;58;True;Blue;4;5;26
3325;Gas;59;True;Red;4;5;26
3115;Gas;60;False;Blue;4;1;26
2121;Liquid;61;True;Blue;4;2;26
2221;Liquid;62;True;Neutral;4;1;26
2111;Liquid;63;False;Blue;4;0;26
2311;Liquid;64;False;Red;4;0;26
2222;Liquid;65;True;Neutral;4;2;26
2211;Liquid;66;False;Neutral;4;0;26
2212;Liquid;67;False;Neutral;4;0;26
2122;Liquid;68;True;Blue;4;1;26
2312;Liquid;69;False;Red;4;0;26
2123;Liquid;70;True;Blue;4;2;26
2313;Liquid;71;False;Red;4;0;26
2112;Liquid;72;False;Blue;4;0;26
2314;Liquid;73;False;Red;4;0;26
2315;Liquid;74;False;Red;4;0;26
2213;Liquid;75;False;Neutral;4;0;26
2321;Liquid;76;True;Red;4;2;26
2322;Liquid;77;True;Red;4;2;26
2124;Liquid;78;True;Blue;4;2;26
2214;Liquid;79;False;Neutral;4;0;26
2113;Liquid;80;False;Blue;4;0;26
2323;Liquid;81;True;Red;4;2;26
2125;Liquid;82;True;Blue;4;1;26
2215;Liquid;83;False;Neutral;4;0;26
2223;Liquid;84;True;Neutral;4;1;26
2324;Liquid;85;True;Red;4;1;26
2224;Liquid;86;True;Neutral;4;1;26
2325;Liquid;87;True;Red;4;1;26
2114;Liquid;88;False;Blue;4;0;26
2115;Liquid;89;False;Blue;4;0;26
2225;Liquid;90;True;Neutral;4;2;26
