ID;Block;Trial;Haptic;Color;A1;A2;Participant number
3221;Gas;1;True;Neutral;5;3;27
3311;Gas;2;False;Red;5;3;27
3312;Gas;3;False;Red;4;4;27
3313;Gas;4;False;Red;4;5;27
3121;Gas;5;True;Blue;5;2;27
3321;Gas;6;True;Red;3;2;27
3122;Gas;7;True;Blue;3;2;27
3222;Gas;8;True;Neutral;3;1;27
3211;Gas;9;False;Neutral;4;6;27
3111;Gas;10;False;Blue;4;7;27
3112;Gas;11;False;Blue;4;7;27
3322;Gas;12;True;Red;5;3;27
3212;Gas;13;False;Neutral;3;4;27
3113;Gas;14;False;Blue;4;7;27
3114;Gas;15;False;Blue;4;7;27
3223;Gas;16;True;Neutral;6;2;27
3115;Gas;17;False;Blue;4;3;27
3123;Gas;18;True;Blue;5;3;27
3124;Gas;19;True;Blue;5;3;27
3323;Gas;20;True;Red;3;3;27
3125;Gas;21;True;Blue;5;3;27
3314;Gas;22;False;Red;4;3;27
3224;Gas;23;True;Neutral;3;3;27
3324;Gas;24;True;Red;3;5;27
3225;Gas;25;True;Neutral;3;5;27
3213;Gas;26;False;Neutral;3;6;27
3214;Gas;27;False;Neutral;3;5;27
3325;Gas;28;True;Red;3;6;27
3215;Gas;29;False;Neutral;4;4;27
3315;Gas;30;False;Red;4;3;27
1211;Solid;31;False;Neutral;4;3;27
1321;Solid;32;True;Red;3;3;27
1212;Solid;33;False;Neutral;4;4;27
1213;Solid;34;False;Neutral;4;3;27
1322;Solid;35;True;Red;3;3;27
1323;Solid;36;True;Red;4;3;27
1111;Solid;37;False;Blue;3;3;27
1311;Solid;38;False;Red;3;3;27
1121;Solid;39;True;Blue;5;3;27
1122;Solid;40;True;Blue;5;3;27
1312;Solid;41;False;Red;5;5;27
1123;Solid;42;True;Blue;5;3;27
1112;Solid;43;False;Blue;4;3;27
1214;Solid;44;False;Neutral;4;3;27
1124;Solid;45;True;Blue;3;3;27
1313;Solid;46;False;Red;3;3;27
1221;Solid;47;True;Neutral;3;2;27
1314;Solid;48;False;Red;4;2;27
1113;Solid;49;False;Blue;4;2;27
1324;Solid;50;True;Red;4;1;27
1325;Solid;51;True;Red;3;1;27
1315;Solid;52;False;Red;4;1;27
1222;Solid;53;True;Neutral;5;1;27
1114;Solid;54;False;Blue;4;1;27
1223;Solid;55;True;Neutral;3;1;27
1115;Solid;56;False;Blue;4;1;27
1125;Solid;57;True;Blue;4;1;27
1224;Solid;58;True;Neutral;4;1;27
1215;Solid;59;False;Neutral;4;1;27
1225;Solid;60;True;Neutral;3;0;27
2311;Liquid;61;False;Red;4;1;27
2221;Liquid;62;True;Neutral;3;6;27
2111;Liquid;63;False;Blue;3;5;27
2211;Liquid;64;False;Neutral;3;5;27
2112;Liquid;65;False;Blue;3;5;27
2222;Liquid;66;True;Neutral;3;6;27
2223;Liquid;67;True;Neutral;3;6;27
2312;Liquid;68;False;Red;3;6;27
2212;Liquid;69;False;Neutral;3;5;27
2213;Liquid;70;False;Neutral;3;4;27
2214;Liquid;71;False;Neutral;4;5;27
2121;Liquid;72;True;Blue;4;6;27
2313;Liquid;73;False;Red;4;4;27
2321;Liquid;74;True;Red;4;6;27
2224;Liquid;75;True;Neutral;4;6;27
2314;Liquid;76;False;Red;4;4;27
2113;Liquid;77;False;Blue;4;4;27
2322;Liquid;78;True;Red;4;6;27
2122;Liquid;79;True;Blue;3;5;27
2215;Liquid;80;False;Neutral;4;5;27
2323;Liquid;81;True;Red;4;5;27
2114;Liquid;82;False;Blue;3;5;27
2115;Liquid;83;False;Blue;4;3;27
2123;Liquid;84;True;Blue;3;6;27
2124;Liquid;85;True;Blue;3;6;27
2125;Liquid;86;True;Blue;3;5;27
2225;Liquid;87;True;Neutral;4;6;27
2315;Liquid;88;False;Red;4;6;27
2324;Liquid;89;True;Red;4;5;27
2325;Liquid;90;True;Red;3;3;27
