ID;Block;Trial;Haptic;Color;A1;A2;Participant number
1211;Solid;1;False;Neutral;4;0;8
1221;Solid;2;True;Neutral;4;6;8
1111;Solid;3;False;Blue;4;0;8
1321;Solid;4;True;Red;5;6;8
1121;Solid;5;True;Blue;5;6;8
1212;Solid;6;False;Neutral;4;0;8
1222;Solid;7;True;Neutral;4;7;8
1213;Solid;8;False;Neutral;6;1;8
1311;Solid;9;False;Red;4;0;8
1312;Solid;10;False;Red;5;1;8
1322;Solid;11;True;Red;5;7;8
1122;Solid;12;True;Blue;4;7;8
1223;Solid;13;True;Neutral;5;6;8
1323;Solid;14;True;Red;4;5;8
1214;Solid;15;False;Neutral;4;3;8
1112;Solid;16;False;Blue;4;1;8
1324;Solid;17;True;Red;4;8;8
1313;Solid;18;False;Red;5;5;8
1113;Solid;19;False;Blue;4;6;8
1114;Solid;20;False;Blue;4;7;8
1123;Solid;21;True;Blue;4;6;8
1124;Solid;22;True;Blue;4;6;8
1215;Solid;23;False;Neutral;4;5;8
1224;Solid;24;True;Neutral;4;5;8
1125;Solid;25;True;Blue;5;6;8
1325;Solid;26;True;Red;4;5;8
1115;Solid;27;False;Blue;4;5;8
1225;Solid;28;True;Neutral;4;6;8
1314;Solid;29;False;Red;4;3;8
1315;Solid;30;False;Red;4;3;8
3221;Gas;31;True;Neutral;5;8;8
3121;Gas;32;True;Blue;5;8;8
3122;Gas;33;True;Blue;4;7;8
3311;Gas;34;False;Red;4;0;8
3222;Gas;35;True;Neutral;4;8;8
3321;Gas;36;True;Red;5;8;8
3211;Gas;37;False;Neutral;4;0;8
3111;Gas;38;False;Blue;4;0;8
3322;Gas;39;True;Red;5;8;8
3312;Gas;40;False;Red;4;8;8
3313;Gas;41;False;Red;4;4;8
3223;Gas;42;True;Neutral;5;7;8
3112;Gas;43;False;Blue;4;6;8
3123;Gas;44;True;Blue;5;6;8
3314;Gas;45;False;Red;4;7;8
3212;Gas;46;False;Neutral;4;6;8
3224;Gas;47;True;Neutral;4;7;8
3225;Gas;48;True;Neutral;4;6;8
3323;Gas;49;True;Red;4;6;8
3324;Gas;50;True;Red;4;6;8
3213;Gas;51;False;Neutral;4;3;8
3113;Gas;52;False;Blue;4;5;8
3114;Gas;53;False;Blue;4;5;8
3124;Gas;54;True;Blue;4;7;8
3214;Gas;55;False;Neutral;4;3;8
3325;Gas;56;True;Red;4;7;8
3315;Gas;57;False;Red;4;8;8
3125;Gas;58;True;Blue;4;6;8
3215;Gas;59;False;Neutral;4;8;8
3115;Gas;60;False;Blue;4;6;8
2111;Liquid;61;False;Blue;4;0;8
2211;Liquid;62;False;Neutral;4;0;8
2212;Liquid;63;False;Neutral;4;0;8
2311;Liquid;64;False;Red;4;1;8
2121;Liquid;65;True;Blue;4;6;8
2112;Liquid;66;False;Blue;4;2;8
2321;Liquid;67;True;Red;5;6;8
2213;Liquid;68;False;Neutral;4;1;8
2113;Liquid;69;False;Blue;4;3;8
2312;Liquid;70;False;Red;4;1;8
2214;Liquid;71;False;Neutral;4;5;8
2114;Liquid;72;False;Blue;4;2;8
2221;Liquid;73;True;Neutral;4;6;8
2322;Liquid;74;True;Red;4;6;8
2122;Liquid;75;True;Blue;4;6;8
2215;Liquid;76;False;Neutral;4;1;8
2222;Liquid;77;True;Neutral;4;7;8
2123;Liquid;78;True;Blue;4;7;8
2124;Liquid;79;True;Blue;4;7;8
2313;Liquid;80;False;Red;4;3;8
2323;Liquid;81;True;Red;4;6;8
2125;Liquid;82;True;Blue;4;6;8
2324;Liquid;83;True;Red;4;6;8
2115;Liquid;84;False;Blue;4;3;8
2314;Liquid;85;False;Red;4;3;8
2315;Liquid;86;False;Red;4;1;8
2223;Liquid;87;True;Neutral;4;7;8
2224;Liquid;88;True;Neutral;4;7;8
2225;Liquid;89;True;Neutral;4;6;8
2325;Liquid;90;True;Red;5;7;8
