ID;Block;Trial;Haptic;Color;A1;A2;Participant number
2211;Liquid;1;False;Neutral;4;2;6
2321;Liquid;2;True;Red;5;4;6
2121;Liquid;3;True;Blue;4;4;6
2221;Liquid;4;True;Neutral;4;5;6
2111;Liquid;5;False;Blue;3;3;6
2322;Liquid;6;True;Red;6;5;6
2212;Liquid;7;False;Neutral;5;4;6
2213;Liquid;8;False;Neutral;5;4;6
2323;Liquid;9;True;Red;6;5;6
2324;Liquid;10;True;Red;6;6;6
2222;Liquid;11;True;Neutral;5;5;6
2112;Liquid;12;False;Blue;3;4;6
2311;Liquid;13;False;Red;4;1;6
2223;Liquid;14;True;Neutral;6;5;6
2224;Liquid;15;True;Neutral;7;6;6
2122;Liquid;16;True;Blue;6;5;6
2225;Liquid;17;True;Neutral;5;4;6
2113;Liquid;18;False;Blue;3;5;6
2123;Liquid;19;True;Blue;5;5;6
2312;Liquid;20;False;Red;5;7;6
2313;Liquid;21;False;Red;5;6;6
2314;Liquid;22;False;Red;4;6;6
2124;Liquid;23;True;Blue;6;5;6
2214;Liquid;24;False;Neutral;3;6;6
2114;Liquid;25;False;Blue;3;6;6
2315;Liquid;26;False;Red;4;5;6
2115;Liquid;27;False;Blue;5;5;6
2125;Liquid;28;True;Blue;6;5;6
2215;Liquid;29;False;Neutral;4;2;6
2325;Liquid;30;True;Red;7;7;6
1321;Solid;31;True;Red;5;6;6
1111;Solid;32;False;Blue;4;0;6
1221;Solid;33;True;Neutral;4;6;6
1121;Solid;34;True;Blue;5;6;6
1112;Solid;35;False;Blue;4;1;6
1122;Solid;36;True;Blue;5;5;6
1211;Solid;37;False;Neutral;4;0;6
1311;Solid;38;False;Red;3;0;6
1322;Solid;39;True;Red;6;5;6
1323;Solid;40;True;Red;6;6;6
1212;Solid;41;False;Neutral;4;1;6
1222;Solid;42;True;Neutral;6;5;6
1123;Solid;43;True;Blue;3;5;6
1124;Solid;44;True;Blue;4;6;6
1312;Solid;45;False;Red;2;3;6
1313;Solid;46;False;Red;4;0;6
1324;Solid;47;True;Red;2;5;6
1314;Solid;48;False;Red;3;1;6
1213;Solid;49;False;Neutral;4;0;6
1214;Solid;50;False;Neutral;3;1;6
1325;Solid;51;True;Red;6;7;6
1215;Solid;52;False;Neutral;5;4;6
1113;Solid;53;False;Blue;4;1;6
1223;Solid;54;True;Neutral;5;7;6
1224;Solid;55;True;Neutral;4;4;6
1114;Solid;56;False;Blue;3;1;6
1225;Solid;57;True;Neutral;4;4;6
1115;Solid;58;False;Blue;4;0;6
1125;Solid;59;True;Blue;6;6;6
1315;Solid;60;False;Red;3;1;6
3221;Gas;61;True;Neutral;4;7;6
3321;Gas;62;True;Red;5;7;6
3111;Gas;63;False;Blue;4;3;6
3211;Gas;64;False;Neutral;4;4;6
3322;Gas;65;True;Red;3;7;6
3212;Gas;66;False;Neutral;4;7;6
3213;Gas;67;False;Neutral;4;0;6
3323;Gas;68;True;Red;4;7;6
3112;Gas;69;False;Blue;3;7;6
3222;Gas;70;True;Neutral;5;8;6
3324;Gas;71;True;Red;5;8;6
3325;Gas;72;True;Red;5;7;6
3113;Gas;73;False;Blue;4;5;6
3311;Gas;74;False;Red;4;4;6
3223;Gas;75;True;Neutral;5;8;6
3312;Gas;76;False;Red;3;4;6
3121;Gas;77;True;Blue;4;8;6
3122;Gas;78;True;Blue;5;7;6
3123;Gas;79;True;Blue;6;8;6
3224;Gas;80;True;Neutral;4;7;6
3114;Gas;81;False;Blue;4;1;6
3313;Gas;82;False;Red;5;1;6
3115;Gas;83;False;Blue;3;1;6
3225;Gas;84;True;Neutral;4;7;6
3314;Gas;85;False;Red;4;1;6
3214;Gas;86;False;Neutral;3;6;6
3315;Gas;87;False;Red;4;1;6
3124;Gas;88;True;Blue;6;7;6
3215;Gas;89;False;Neutral;3;4;6
3125;Gas;90;True;Blue;4;7;6
