ID;Block;Trial;Haptic;Color;A1;A2;Participant number
2321;Liquid;1;True;Red;4;2;18
2322;Liquid;2;True;Red;5;2;18
2221;Liquid;3;True;Neutral;5;2;18
2222;Liquid;4;True;Neutral;5;3;18
2211;Liquid;5;False;Neutral;4;3;18
2121;Liquid;6;True;Blue;5;2;18
2311;Liquid;7;False;Red;4;4;18
2212;Liquid;8;False;Neutral;3;3;18
2213;Liquid;9;False;Neutral;3;4;18
2214;Liquid;10;False;Neutral;4;3;18
2215;Liquid;11;False;Neutral;4;4;18
2312;Liquid;12;False;Red;5;3;18
2223;Liquid;13;True;Neutral;5;3;18
2224;Liquid;14;True;Neutral;4;5;18
2111;Liquid;15;False;Blue;4;3;18
2122;Liquid;16;True;Blue;4;4;18
2112;Liquid;17;False;Blue;4;2;18
2123;Liquid;18;True;Blue;4;4;18
2313;Liquid;19;False;Red;3;4;18
2113;Liquid;20;False;Blue;5;3;18
2114;Liquid;21;False;Blue;4;2;18
2314;Liquid;22;False;Red;3;2;18
2124;Liquid;23;True;Blue;4;4;18
2115;Liquid;24;False;Blue;3;3;18
2315;Liquid;25;False;Red;4;1;18
2323;Liquid;26;True;Red;4;4;18
2324;Liquid;27;True;Red;3;4;18
2125;Liquid;28;True;Blue;4;3;18
2325;Liquid;29;True;Red;4;4;18
2225;Liquid;30;True;Neutral;4;5;18
1311;Solid;31;False;Red;4;1;18
1211;Solid;32;False;Neutral;4;1;18
1121;Solid;33;True;Blue;5;3;18
1321;Solid;34;True;Red;5;3;18
1221;Solid;35;True;Neutral;5;2;18
1122;Solid;36;True;Blue;5;4;18
1312;Solid;37;False;Red;4;1;18
1212;Solid;38;False;Neutral;3;2;18
1111;Solid;39;False;Blue;4;1;18
1123;Solid;40;True;Blue;3;3;18
1322;Solid;41;True;Red;5;2;18
1313;Solid;42;False;Red;3;1;18
1222;Solid;43;True;Neutral;3;3;18
1112;Solid;44;False;Blue;3;2;18
1113;Solid;45;False;Blue;4;1;18
1124;Solid;46;True;Blue;4;3;18
1213;Solid;47;False;Neutral;4;1;18
1214;Solid;48;False;Neutral;3;1;18
1323;Solid;49;True;Red;5;3;18
1324;Solid;50;True;Red;5;4;18
1325;Solid;51;True;Red;4;4;18
1125;Solid;52;True;Blue;5;3;18
1114;Solid;53;False;Blue;4;1;18
1223;Solid;54;True;Neutral;4;4;18
1115;Solid;55;False;Blue;4;1;18
1215;Solid;56;False;Neutral;3;1;18
1314;Solid;57;False;Red;3;2;18
1224;Solid;58;True;Neutral;5;3;18
1315;Solid;59;False;Red;3;1;18
1225;Solid;60;True;Neutral;5;2;18
3121;Gas;61;True;Blue;3;4;18
3311;Gas;62;False;Red;4;2;18
3211;Gas;63;False;Neutral;3;5;18
3122;Gas;64;True;Blue;3;3;18
3111;Gas;65;False;Blue;4;2;18
3123;Gas;66;True;Blue;3;3;18
3112;Gas;67;False;Blue;4;4;18
3221;Gas;68;True;Neutral;3;5;18
3321;Gas;69;True;Red;3;4;18
3322;Gas;70;True;Red;3;5;18
3323;Gas;71;True;Red;3;5;18
3324;Gas;72;True;Red;3;5;18
3124;Gas;73;True;Blue;5;4;18
3222;Gas;74;True;Neutral;5;4;18
3312;Gas;75;False;Red;5;4;18
3223;Gas;76;True;Neutral;5;5;18
3224;Gas;77;True;Neutral;4;5;18
3313;Gas;78;False;Red;4;4;18
3212;Gas;79;False;Neutral;4;5;18
3213;Gas;80;False;Neutral;5;6;18
3214;Gas;81;False;Neutral;3;4;18
3113;Gas;82;False;Blue;4;3;18
3225;Gas;83;True;Neutral;4;4;18
3113;Gas;84;False;Blue;3;4;18
3114;Gas;85;False;Blue;4;3;18
3215;Gas;86;False;Neutral;4;4;18
3125;Gas;87;True;Blue;5;4;18
3314;Gas;88;False;Red;4;3;18
3115;Gas;89;False;Blue;4;3;18
3315;Gas;90;False;Red;4;3;18
